t,setpointWI,WD,WI
3275,10,10.32,10.55
3280,10,10.55,10.84
3285,10,10.78,11.14
3290,10,11.02,11.33
3295,10,11.28,11.52
3300,10,11.47,11.73
3305,10,11.67,11.93
3310,10,11.88,12.15
3315,10,12.1,12.25
3320,10,12.37,12.35
3325,10,12.51,12.45
3330,10,12.65,12.55
3335,10,12.8,12.66
3340,10,12.95,12.71
3345,10,13.13,12.76
3350,10,13.21,12.8
3355,10,13.29,12.85
3360,10,13.37,12.9
3365,10,13.46,12.93
3370,10,13.5,12.95
3375,10,13.55,12.98
3380,10,13.6,13.01
3385,10,13.65,13.03
3390,10,13.69,13.06
3395,10,13.71,13.08
3400,10,13.73,13.11
3405,10,13.75,13.14
3410,10,13.77,13.19
3415,10,13.74,13.22
3420,10,13.69,13.25
3425,10,13.65,13.28
3430,10,13.6,13.31
3435,10,13.55,13.31
3440,10,13.46,13.31
3445,10,13.37,13.31
3450,10,13.27,13.31
3455,10,13.18,13.31
3460,10,13.09,13.2
3465,10,12.96,13.09
3470,10,12.84,12.98
3475,10,12.71,12.88
3480,10,12.59,12.78
3485,10,12.47,12.65
3490,10,12.4,12.52
3495,10,12.24,12.4
3500,10,12.08,12.28
3505,10,11.92,12.16
3510,10,11.77,12.11
3515,10,11.69,11.99
3520,10,11.61,11.87
3525,10,11.39,11.76
3530,10,11.19,11.64
3535,10,10.98,11.57
3540,10,10.79,11.51
3545,10,10.67,11.29
3550,10,10.55,11.07
3555,10,10.43,10.87
3560,10,10.17,10.67
3565,10,9.92,10.54
3570,10,9.68,10.41
3575,10,9.55,10.29
3580,10,9.42,10.16
3585,10,9.29,9.85
3590,10,9.17,9.56
3595,10,9.05,9.38
3600,10,8.77,9.22
3605,10,8.51,9.06
3610,10,8.36,8.9
3615,10,8.21,8.75
3620,10,8.07,8.61
3625,10,7.94,8.47
3630,10,7.81,8.33
3635,10,7.68,8.07
3640,10,7.56,7.83
3645,10,7.44,7.6
3650,10,7.32,7.38
3655,10,7.21,7.18
3660,10,7.1,6.99
3665,10,7,6.8
3670,10,6.89,6.63
3675,10,6.79,6.47
3680,10,6.7,6.31
3685,10,6.6,6.31
3690,10,6.51,6.2
3695,10,6.42,6.09
3700,10,6.4,5.99
3705,10,6.38,5.89
3710,10,6.37,5.79
3715,10,6.35,5.7
3720,10,6.33,5.61
3725,10,6.31,5.52
3730,10,6.29,5.43
3735,10,6.28,5.35
3740,10,6.26,5.35
3745,10,6.3,5.35
3750,10,6.36,5.36
3755,10,6.42,5.38
3760,10,6.48,5.39
3765,10,6.54,5.4
3770,10,6.6,5.41
3775,10,6.67,5.43
3780,10,6.73,5.44
3785,10,6.88,5.45
3790,10,7.03,5.47
3795,10,7.11,5.6
3800,10,7.2,5.72
3805,10,7.28,5.85
3810,10,7.37,5.98
3815,10,7.47,6.12
3820,10,7.68,6.27
3825,10,7.91,6.43
3830,10,8.15,6.74
3835,10,8.29,7.08
3840,10,8.44,7.46
3845,10,8.59,7.65
3850,10,8.87,7.85
3855,10,9.17,8.06
3860,10,9.49,8.41
3865,10,9.83,8.79
3870,10,9.98,9.21
3875,10,10.27,9.67
3880,10,10.58,9.84
3885,10,10.91,10.07
3890,10,11.26,10.31
3895,10,11.76,10.56
3900,10,12.07,10.83
3905,10,12.41,11.11
3910,10,12.76,11.24
3915,10,13.14,11.36
3920,10,13.51,11.49
3925,10,13.65,11.62
3930,10,13.8,11.76
3935,10,13.95,11.89
3940,10,13.95,12.03
3945,10,13.95,12.17
3950,10,13.95,12.32
3955,10,13.95,12.46
3960,10,13.95,12.55
3965,10,13.95,12.63
3970,10,13.95,12.71
3975,10,13.95,12.8
3980,10,13.95,12.89
3985,10,13.95,12.91
3990,10,13.95,12.93
3995,10,13.95,12.94
4000,10,13.95,12.96
4005,10,13.95,12.98
4010,10,13.95,13.02
4015,10,13.95,13.05
4020,10,13.95,13.08
4025,10,13.95,13.12
4030,10,13.97,13.21
4035,10,13.87,13.29
4040,10,13.78,13.36
4045,10,13.69,13.44
4050,10,13.6,13.52
4055,10,13.49,13.58
4060,10,13.37,13.62
4065,10,13.25,13.66
4070,10,13.14,13.71
4075,10,13.03,13.75
4080,10,12.85,13.65
4085,10,12.68,13.55
